import time: self [us] | cumulative | imported package
import time:      1035 |       1035 |                         scipy.sparse._csparsetools
import time:       655 |       1689 |                       scipy.sparse._lil
import time:       765 |        765 |                       scipy.sparse._dok
import time:       773 |        773 |                       scipy.sparse._coo
import time:       722 |        722 |                       scipy.sparse._dia
import time:       845 |        845 |                       scipy.sparse._bsr
import time:      1467 |       1467 |                       scipy.sparse._construct
import time:       427 |        427 |                       scipy.sparse._extract
import time:       458 |        458 |                       scipy.sparse._matrix_io
import time:       482 |        482 |                       scipy.sparse.base
import time:       415 |        415 |                       scipy.sparse.bsr
import time:       340 |        340 |                       scipy.sparse.compressed
import time:       338 |        338 |                       scipy.sparse.construct
import time:       333 |        333 |                       scipy.sparse.coo
import time:       312 |        312 |                       scipy.sparse.csc
import time:       482 |        482 |                       scipy.sparse.csr
import time:       455 |        455 |                       scipy.sparse.data
import time:       479 |        479 |                       scipy.sparse.dia
import time:       406 |        406 |                       scipy.sparse.dok
import time:       360 |        360 |                       scipy.sparse.extract
import time:       566 |        566 |                       scipy.sparse.lil
import time:       471 |        471 |                       scipy.sparse.sparsetools
import time:       356 |        356 |                       scipy.sparse.sputils
import time:      1168 |      21266 |                     scipy.sparse
import time:      1128 |      22394 |                   scipy.linalg._sketches
import time:       768 |        768 |                   scipy.linalg._decomp_cossin
import time:       402 |        402 |                   scipy.linalg.decomp
import time:       423 |        423 |                   scipy.linalg.decomp_cholesky
import time:       407 |        407 |                   scipy.linalg.decomp_lu
import time:       361 |        361 |                   scipy.linalg.decomp_qr
import time:       366 |        366 |                   scipy.linalg.decomp_svd
import time:       378 |        378 |                   scipy.linalg.decomp_schur
import time:       369 |        369 |                   scipy.linalg.basic
import time:       395 |        395 |                   scipy.linalg.misc
import time:       362 |        362 |                   scipy.linalg.special_matrices
import time:       356 |        356 |                   scipy.linalg.matfuncs
import time:      2108 |      77067 |                 scipy.special._orthogonal
import time:       432 |        432 |                 scipy.special._spfun_stats
import time:       405 |        405 |                 scipy.special._ellip_harm
import time:       396 |        396 |                 scipy.special._lambertw
import time:       552 |        552 |                 scipy.special._spherical_bessel
import time:       381 |        381 |                 scipy.special.add_newdocs
import time:       450 |        450 |                 scipy.special.basic
import time:       431 |        431 |                 scipy.special.orthogonal
import time:       547 |        547 |                 scipy.special.specfun
import time:       425 |        425 |                 scipy.special.sf_error
import time:       406 |        406 |                 scipy.special.spfun_stats
import time:      3176 |     323285 |               scipy.special
import time:       820 |        820 |                   scipy.interpolate._fitpack
import time:       774 |        774 |                   scipy.interpolate._dfitpack
import time:       588 |       2181 |                 scipy.interpolate._fitpack_impl
import time:       716 |        716 |                             scipy.sparse.linalg._interface
import time:       444 |        444 |                             scipy.sparse.linalg._isolve.utils
import time:       686 |       1845 |                           scipy.sparse.linalg._isolve.iterative
import time:       420 |        420 |                           scipy.sparse.linalg._isolve.minres
import time:       665 |        665 |                             scipy.sparse.linalg._isolve._gcrotmk
import time:       405 |       1070 |                           scipy.sparse.linalg._isolve.lgmres
